id,MMLValueName,sourceORneighbour,TECH,table,actualTableValue,replaceString
,BSC,source,GSM,Radio_GCELL,neid,G09-1
,G18_Index,source,GSM,Radio_GCELL,CELLID,G18-1
,G9_Index,source,GSM,Radio_GCELL,CELLID,G09-1
,L18_cellName,source,L1800,,cellName,L18-1
,L18_LocalCellID,source,L1800,,LocalCellID,L18-1
,L18_nodebName,source,L1800,,nodebName,L18-1
,nDlEarfcn,neighbour,L1800,,nodebName,
,nG18_Index,neighbour,GSM,Radio_GCELL,CELLID,G18-1
,nG9_CID,neighbour,GSM,Radio_UEXT2GCELL,CID,G09-1
,nG9_Index,neighbour,GSM,Radio_GCELL,CELLID,G09-1
,nL18_cellName,neighbour,L1800,,cellName,L18-1
,nL18_CID,neighbour,L1800,,CID,L18-1
,nL18_enodeB_ID,neighbour,L1800,,enodeB_id,L18-1
,nL18_PhyCellId,neighbour,L1800,,PhyCellId,L18-1
,nL18_TAC,neighbour,L1800,,TAC,L18-1
,nRNC_ID,neighbour,UMTS,Radio_UMTS,neid,U09-1
,nU21f1_CellName,neighbour,UMTS,Radio_UMTS,CELLNAME,U21-1
,nU21f1_CID,neighbour,UMTS,Radio_UMTS,CELLID,U21-1
,nU21f1_DL_UARCFN,neighbour,UMTS,Radio_UMTS,UARFCNUPLINK,U21-1
,nU21f1_Index,neighbour,UMTS,Radio_GEXT3GCELL,EXT3GCELLID,U21-1
,nU21f1_LAC,neighbour,UMTS,Radio_UMTS,LAC,U21-1
,nU21f1_RAC,neighbour,UMTS,Radio_UMTS,RAC,U21-1
,nU21f1_SC,neighbour,UMTS,Radio_UMTS,PSCRAMBCODE,U21-1
,nU21f2_CID,neighbour,UMTS,Radio_UMTS,CELLID,U21-2
,nU21f2_Index,neighbour,UMTS,Radio_GEXT3GCELL,EXT3GCELLID,U21-2
,nU21f3_CID,neighbour,UMTS,Radio_UMTS,CELLID,U21-3
,nU21f3_Index,neighbour,UMTS,Radio_GEXT3GCELL,EXT3GCELLID,U21-3
,nU9_CellName,neighbour,UMTS,Radio_UMTS,CELLNAME,U09-1
,nU9_CID,neighbour,UMTS,Radio_UMTS,CELLID,U09-1
,nU9_DL_UARCFN,neighbour,UMTS,Radio_UMTS,UARFCNDOWNLINK,U09-1
,nU9_Index,neighbour,UMTS,Radio_GEXT3GCELL,EXT3GCELLID,U09-1
,nU9_LAC,neighbour,UMTS,Radio_UMTS,LAC,U09-1
,nU9_RAC,neighbour,UMTS,Radio_UMTS,RAC,U09-1
,nU9_SC,neighbour,UMTS,Radio_UMTS,PSCRAMBCODE,U09-1
,RNC,source,UMTS,Radio_UMTS,neid,U09-1
,RNC_ID,source,UMTS,Radio_UMTS,neid,U09-1
,U21f1_CID,source,UMTS,Radio_UMTS,CELLID,U21-1
,U21f2_CID,source,UMTS,Radio_UMTS,CELLID,U21-2
,U21f3_CID,source,UMTS,Radio_UMTS,CELLID,U21-3
,U9_CID,source,UMTS,Radio_UMTS,CELLID,U09-1
